agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_lang
100046,ATKO Liinid OÜ,http://www.peatus.ee,Europe/Tallinn,"",""
71,Aktsiaselts Hansa Bussiliinid,http://www.peatus.ee,Europe/Tallinn,+372 4334302,et
100002,Kihnu Veeteed AS,http://www.veeteed.com,Europe/Tallinn,+372 4431069,et
100025,OV Ida-Bus OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5358 6017,et
160,Eltor OÜ,http://www.eltor.ee/,Europe/Tallinn,+372 7750242,et
100027,NAJA OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5540170,et
60,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 736 2290,et
231,Taisto Liinid OÜ,http://www.taisto.ee,Europe/Tallinn,1882,et
787,Kalle Bussid OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5177354,et
100038,Mittetulundusühing Ilumetsa rongipeatuse sõbrad,http://www.peatus.ee,Europe/Tallinn,+372 5223966,et
273,Arne Auto OÜ,http://www.arneauto.ee,Europe/Tallinn,+372 56651259,et
27,Lüganuse HVM Osaühing,http://www.hot.ee/h/hvmlyganuse/avaleht.htm,Europe/Tallinn,+372 5079542,et
219,Asunduse osaühing,http://www.asunduse.ee,Europe/Tallinn,+372 5273986,et
100012,Ecolines Estonia OÜ,http://www.ecolines.net,Europe/Tallinn,+372 6062217,et
2,Adraku Transport OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5148269,et
100026,Fremanti OÜ,http://www.peatus.ee,Europe/Tallinn,+372 56904537,et
100041,Eesti Buss OÜ,http://www.peatus.ee,Europe/Tallinn,+372 6064969,et
7,Ekspress-Auto L Osaühing,http://www.ekspressautol.ee,Europe/Tallinn,+372 33 79 040,et
47,Sarbuss AS,http://www.sarbuss.ee,Europe/Tallinn,+372 4533660,et
208,REMFAKT OÜ,http://www.remfakt.ee,Europe/Tallinn,+372 5055341,et
295,Hansabuss AS,http://www.hansabuss.ee,Europe/Tallinn,+372 6713260,et
632,Arilix OÜ,http://www.vaikebussid.ee,Europe/Tallinn,+372 5172166,et
