service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7453,0,0,0,0,0,1,0,20110126,20161231
7454,0,0,0,0,0,1,0,20110126,20161231
7507,0,0,0,0,0,1,0,20150901,20161231
7508,0,0,0,0,0,1,0,20150901,20161231
7509,0,0,0,0,0,1,0,20150901,20161231
7510,0,0,0,0,0,1,0,20150901,20161231
7511,0,0,0,0,0,1,0,20150901,20161231
7810,1,1,1,1,1,0,0,20150901,20161231
7811,1,1,1,1,1,0,0,20150901,20161231
7812,1,1,1,1,1,0,0,20150901,20161231
7813,1,1,1,1,1,0,0,20150901,20161231
7840,1,1,1,1,1,0,0,20150901,20161231
7841,1,1,1,1,1,0,0,20150901,20161231
7842,1,1,1,1,1,0,0,20150901,20161231
7843,1,1,1,1,1,0,0,20150901,20161231
7844,1,1,1,1,1,0,0,20150901,20161231
7863,1,1,1,1,1,0,0,20141020,20161231
7864,1,1,1,1,1,0,0,20141020,20161231
7865,1,1,1,1,1,0,0,20141020,20161231
7866,1,1,1,1,1,0,0,20141020,20161231
7870,0,0,0,0,0,0,1,20150826,20161231
8071,0,0,0,0,0,1,0,20150901,20161231
8072,0,0,0,0,0,1,0,20150901,20161231
8073,0,0,0,0,0,1,0,20150901,20161231
8074,0,0,0,0,0,0,1,20150901,20161231
8075,0,0,0,0,0,0,1,20150901,20161231
8076,0,0,0,0,0,0,1,20150901,20161231
8181,0,0,0,0,0,1,0,20150901,20161231
8182,0,0,0,0,0,1,0,20150901,20161231
8183,0,0,0,0,0,1,0,20150901,20161231
8184,0,0,0,0,0,1,0,20150901,20161231
20048,1,1,1,1,1,1,1,20130601,20161231
20106,1,0,0,0,1,0,0,20090905,20180522
20118,0,0,0,0,1,0,0,20100701,20171231
20119,0,0,0,0,0,0,1,20100701,20171231
20192,1,1,1,1,1,1,0,20091123,20161122
20223,0,1,0,0,0,0,0,20000415,20181231
20228,0,1,0,1,0,1,0,20030101,20181231
20230,0,1,0,0,0,0,0,20090201,20181231
20251,1,1,1,1,1,0,0,20040223,20181231
20285,0,0,1,0,1,0,0,20010101,20200131
20325,0,0,0,0,0,1,1,20151101,20160131
20428,1,1,1,1,1,0,0,20050701,20160229
20429,1,1,1,1,1,0,0,20050701,20160229
20434,1,1,1,1,1,0,0,20050701,20160229
20439,1,1,1,1,1,0,0,20050701,20160229
20448,1,1,0,1,1,1,0,20080201,20160229
20449,0,1,0,0,1,0,0,20080801,20160229
20451,0,0,0,0,0,0,1,20080201,20160229
20452,1,1,1,1,1,0,0,20080201,20160229
20458,0,0,0,0,0,0,1,20080201,20160229
20460,1,1,1,1,1,0,0,20080201,20160229
20462,1,1,1,1,1,1,0,20080201,20160229
20468,1,1,1,1,1,0,0,20080922,20160229
20523,1,1,1,1,1,1,0,20090401,20211231
20524,1,1,1,1,1,1,1,20090401,20211231
20525,1,1,1,1,1,0,0,20090401,20211231
