route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority
38d2575638fa7e91a5baf6f4a1cc1bf5,100046,1,Keskl-Smuuli-Haigla-Tuulte R-Keskl-Niidu-Kudjape-Nooruse-Keskv,3,DE2C42,Saare MV
0f8bce244dd2b5fed8a5021092050c95,60,1,Metsamajand - Merimetsa - Papiniidu - Riia mnt - Vana-Pärnu,3,DE2C42,Pärnu LV
19cf7c0c01fcab5956a6f19df0d7405e,317,1,Piira - Näpi,3,DE2C42,Lääne-Viru MV
935de62fc0d6ea1339920cab0ccbcdbc,50,1,FI - Nõlvaku,3,DE2C42,Tartu LV
0e7c30c53ded8eddc9fd8b13119b9512,71,1,Rapla - Rapla raudteejaam,3,00933C,Rapla MV
ffea5c39719816787d3e35f64e7a3559,100046,1,Paide bussijaam - Vanaveski - Paide bussijaam,3,00933C,Järvamaa ÜTK
521957de6d4963a613e683328ee6910a,317,1,Lossiplats - Kiltsi - Rohuküla,3,00933C,Lääne MV
729a0a82b6fbf78fe9f387b079385900,50,1,Seminari väljak - Aiandi tee - Turu - Haigla,3,00933C,Võru MV
efc163c0565f0fefe9c63811bc3ffcd8,869,1,Iisaku - Jõhvi,3,00933C,Ida-Viru MV
b48fe22da04bd9e532355c5bcfb0e06c,56,1,Kopli - Kadriorg,0,8FD759,Tallinna TA
c012caabd0686d3bdca3d53c04307c2c,56,1,Mustamäe - Kaubamaja,800,00A1DE,Tallinna TA
8abed83f4755135bbd2c33d99f41300a,100046,10,Männimäe - Haigla,3,DE2C42,Viljandi MV
352f129121d80c59d657c959244ca2e6,60,10,Koidula Gümnaasium - Mai - Karja - Vana-Pärnu,3,DE2C42,Pärnu LV
31d2412568e598f3a2f65cb575c53104,50,10,Nõlvaku - Põllu - Nõlvaku,3,DE2C42,Tartu LV
298f6bffc1ba1c098dd1b3f903a0ca8a,56,10,Väike-Õismäe - Vana-Pääsküla,3,DE2C42,Tallinna TA
72cccfde346d33d33a3c7623889c3d67,100010,10,Kohtla-Järve Kunstide kool- Maleva,3,FF6319,Kohtla-Järve LV
46d87cc319b530626bd056b93744ccc8,71,10,Rapla - Juuru - Järlepa - Kohila,3,00933C,Rapla MV
2418889527eb786f92be15c1a48ad9ef,60,10,Rakke - Simuna - Käru - Salla,3,00933C,Lääne-Viru MV
c5ec08556ad50c8c7648900dbef93c88,317,10,Haapsalu - Asuküla,3,00933C,Lääne MV
815cadbb82ef436c4d0dcd2dc4fbcd0e,50,10,Võru - Kääpa - Tsolgo - Pera - Paidra - Võru,3,00933C,Võru MV
9ea8581568407a759bf1c579f19ec26c,27,100,Savala - Kiviõli - Püssi - Kohtla-Järve - Jõhvi,3,00933C,Ida-Viru MV
515b171e2a25cf8649c5cd48bfa4fc26,117,100,Tallinn - Laagna - Kallavere,3,00933C,Harjumaa ÜTK
4f042fb3a9c29e29e4be6c72d9e5e247,117,101,Tallinn - Maardu,3,00933C,Harjumaa ÜTK
d4cc2dfc66ae6c9b0abef6ec82d0f15a,231,102,Tallinn - Viljandi,3,E6FA32,Maanteeamet
72365bcc853c3b430f588a0891286f40,60,102,Tartu - Vorbuse - Kärnise - Ilmatsalu - Tartu,3,00933C,Tartu MV
7d2c76565a6cc1537771f4e2beefd7d2,27,102,Kiviõli - Kohtla-Järve,3,00933C,Ida-Viru MV
675ea6e04d84d37446a496e6674c7efd,231,103,Viljandi - Türi - Paide - Tallinn,3,E6FA32,Maanteeamet
82fec4ae602bfa1e93d3356065a2e9b8,60,103,Tartu - Vorbuse - Tartu,3,00933C,Tartu MV
9f55f85bd83cfe401b76c14c033120ea,27,103,Kiviõli - Sonda,3,00933C,Ida-Viru MV
80e22f43971013691a58f73910aa6199,27,103A,Püssi - Kiviõli - Sonda - V-Kabala - Vaeküla - Rakvere,3,00933C,Ida-Viru MV
9bb3bb1272f2f5c623b393eeee321b34,231,104,Tartu - Tallinn,3,E6FA32,Maanteeamet
f4d0c132558b7482b5cd7cdbbe14d773,100046,104,Tallinn - Kostivere,3,00933C,Harjumaa ÜTK
587018c60e4d61cf2385c81b2ea29b73,27,104,Jõhvi - Kiviõli,3,00933C,Ida-Viru MV
5c90ae115d078a2b213c48d43c649fd8,100046,104A,Tallinn - Loo - Kostivere,3,00933C,Harjumaa ÜTK
c9d1bd324ee166c6d299156a11c1f71c,100046,104B,Tallinn - Loo - Lagedi mõis - Kostivere - Haljava,3,00933C,Harjumaa ÜTK
612d5bbd8f74de69b62dcbfca272f506,100046,104C,Tallinn - Loo - Lagedi mõis - Kostivere - Jõelähtme,3,00933C,Harjumaa ÜTK
37533dc7163106468264a4f4ed69f383,231,105,Tallinn - Viljandi,3,E6FA32,Maanteeamet
f430ccee0b07647af28aecf48b0ecdf3,60,105,Tartu - Laeva - Siniküla,3,00933C,Tartu MV
0929c6627f8e21df7fdc1a7395ced5ec,99,105,Tallinn - Vaida - Pikavere - Alavere - Voose,3,00933C,Harjumaa ÜTK
ce01fdee38b6c272b0a52d87252ab4e0,50,105,Jõhvi - Valaste - Saka - Kohtla-Järve - Jõhvi,3,00933C,Ida-Viru MV
f729d3f7a6e8996486c3f0da1c93e68f,99,105E,Tallinn - Vaida - Pikavere - Alavere - Voose,3,00933C,Harjumaa ÜTK
515f1b1b410aacb95448facc29e1c711,231,106,Tallinn - Rakvere,3,E6FA32,Maanteeamet
241602ef42f7077ee044d67ff649a30b,100046,106,Tallinn - Loo,3,00933C,Harjumaa ÜTK
559f69008c0c2e186e0108fdd5aa5d3b,60,106,Siniküla - Laeva - Tartu,3,00933C,Tartu MV
c4f6c68c6f2ffa475013741b5ca8e475,50,106,Jõhvi - Toila,3,00933C,Ida-Viru MV
98e24fe41d0aa9d785732aa76d9a3fd1,100046,106A,Tallinn - Loo - Lagedi,3,00933C,Harjumaa ÜTK
22a543833e11c49996e860163f5b5f37,100046,107,Tallinn - Harku - Keila - Vasalemma - Ämari -  Munalaskme,3,00933C,Harjumaa ÜTK
b20b6e65f4e622d5c61cb7e7701b67a0,60,107,Siniküla - Laeva - Tartu,3,00933C,Tartu MV
2f09b574677106c3742d80e90d0c7a5f,50,107,Jõhvi - Iidla - Puru haigla,3,00933C,Ida-Viru MV
faffe12f0c555fdfd5b9446e7208a25d,100046,108,Tallinn - Tabasalu - Vääna-Jõesuu - Keila-Joa,3,00933C,Harjumaa ÜTK
dee6ea0fe60145d6455aa76b3e02fc2f,60,108,Tartu - Vorbuse - Kärnise - Vorbuse - Tartu,3,00933C,Tartu MV
513cbef5f2a410e78c3c28b40de83f7e,50,108,Jõhvi - Voka,3,00933C,Ida-Viru MV
5d27846800667d8c33a69c26f63c2964,100046,109,Tallinn - Tabasalu - Vääna - Kindluse - Keila,3,00933C,Harjumaa ÜTK
99b4b6c08687c7b3cc6f4794c71fbc5f,60,109,Puurmani - Laeva - Vorbuse - Tartu,3,00933C,Tartu MV
fc4c431be4063561ddfb3755ba770c1c,100046,10-I,Paide keskväljak - Türi - Särevere,3,00933C,Järvamaa ÜTK
